"Freq [GHz]","dB(S(Port,Port)) []"
2.03875,-2.12004928979505
2.04,-2.02370409863533
2.04125,-1.93356496750881
2.0425,-1.84913300677444
2.04375,-1.76995650269622
2.045,-1.69562583451849
2.04625,-1.62576900662166
2.0475,-1.56004771217849
2.04875,-1.49815385762234
2.05,-1.43980648784576
2.05125,-1.38474906082953
2.0525,-1.33274702772873
2.05375,-1.28358568058435
2.055,-1.2370682350092
2.05625,-1.19301411958552
2.0575,-1.15125744744429
2.05875,-1.11164564868644
2.06,-1.07403824503734
2.06125,-1.03830575047697
2.0625,-1.00432868361239
2.06375,-0.971996679310891
2.065,-0.941207688628218
2.06625,-0.911867257383827
2.0675,-0.883887874880832
2.06875,-0.857188385266848
2.07,-0.831693454904444
2.07125,-0.807333089882291
2.0725,-0.784042198466759
2.07375,-0.761760193879406
2.075,-0.740430633301397
2.07625,-0.720000889458685
2.0775,-0.700421851541019
2.07875,-0.681647652560269
2.08,-0.663635420564062
2.08125,-0.646345051396304
2.0825,-0.629739000939113
2.08375,-0.613782094986959
2.085,-0.598441355094911
2.08625,-0.583685838913218
2.0875,-0.569486493671878
2.08875,-0.555816021613028
2.09,-0.542648756289671
2.09125,-0.529960548755843
2.0925,-0.517728662769174
2.09375,-0.505931678212349
2.095,-0.494549402016233
2.09625,-0.483562785936286
2.0975,-0.472953850594979
2.09875,-0.462705615258396
2.1,-0.452802032864462
2.10125,-0.44322792986498
2.1025,-0.433968950483561
2.10375,-0.425011505027846
2.105,-0.416342721926681
2.10625,-0.407950403192617
2.1075,-0.399822983036299
2.10875,-0.391949489383543
2.11,-0.384319508067473
2.11125,-0.376923149487721
2.1125,-0.369751017546556
2.11375,-0.362794180687915
2.115,-0.356044144879883
2.11625,-0.349492828394755
2.1175,-0.343132538252461
2.11875,-0.336955948204626
2.12,-0.330956078146188
2.12125,-0.32512627485088
2.1225,-0.319460193935003
2.12375,-0.313951782961705
2.125,-0.308595265604881
2.12625,-0.30338512679791
2.1275,-0.298316098798698
2.12875,-0.293383148107373
2.13,-0.288581463178097
2.13125,-0.283906442870841
2.1325,-0.279353685592952
2.13375,-0.274918979084321
2.135,-0.270598290803238
2.13625,-0.266387758873025
2.1375,-0.262283683553008
2.13875,-0.25828251919927
2.14,-0.254380866683833
2.14125,-0.250575466242705
2.1425,-0.246863190725439
2.14375,-0.243241039221015
2.145,-0.239706131036138
2.14625,-0.236255700004303
2.1475,-0.232887089104911
2.14875,-0.229597745373518
2.15,-0.226385215085483
2.15125,-0.223247139196403
2.1525,-0.220181249023898
2.15375,-0.217185362156418
2.155,-0.214257378575499
2.15625,-0.211395276979023
2.1575,-0.208597111293617
2.15875,-0.205861007365305
2.16,-0.203185159818088
2.16125,-0.200567829070815
2.1625,-0.1980073385034
2.16375,-0.195502071763906
2.165,-0.193050470208575
2.16625,-0.190651030467416
2.1675,-0.188302302128421
2.16875,-0.186002885533856
2.17,-0.183751429682397
2.17125,-0.18154663023162
2.1725,-0.179387227595132
2.17375,-0.177272005129508
2.175,-0.175199787406066
2.17625,-0.173169438563126
2.1775,-0.171179860734444
2.17875,-0.169229992549857
2.18,-0.16731880770437
